Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,58,8,Some Random Commen with Id 0
1,1,1,18,2,Some Random Commen with Id 1
2,1,1,130,0,Some Random Commen with Id 2
3,1,1,56,6,Some Random Commen with Id 3
4,1,1,182,1,Some Random Commen with Id 4
5,1,1,17,3,Some Random Commen with Id 5
6,1,1,105,2,Some Random Commen with Id 6
7,2,2,61,5,Some Random Commen with Id 7
8,2,2,86,3,Some Random Commen with Id 8
9,2,2,31,2,Some Random Commen with Id 9
10,3,9,167,6,Some Random Commen with Id 10
11,3,9,143,4,Some Random Commen with Id 11
12,3,9,186,4,Some Random Commen with Id 12
13,3,9,162,0,Some Random Commen with Id 13
14,3,9,135,7,Some Random Commen with Id 14
15,3,9,185,2,Some Random Commen with Id 15
16,3,9,78,7,Some Random Commen with Id 16
17,5,3,7,5,Some Random Commen with Id 17
18,5,3,74,8,Some Random Commen with Id 18
19,5,3,123,4,Some Random Commen with Id 19
20,5,3,29,1,Some Random Commen with Id 20
21,5,3,179,8,Some Random Commen with Id 21
22,5,3,1,1,Some Random Commen with Id 22
23,5,3,100,7,Some Random Commen with Id 23
24,6,5,59,8,Some Random Commen with Id 24
25,6,5,86,8,Some Random Commen with Id 25
26,6,5,89,4,Some Random Commen with Id 26
27,6,5,5,6,Some Random Commen with Id 27
28,6,5,5,5,Some Random Commen with Id 28
29,6,5,14,6,Some Random Commen with Id 29
30,6,5,115,8,Some Random Commen with Id 30
31,6,5,46,8,Some Random Commen with Id 31
32,6,5,90,6,Some Random Commen with Id 32
33,8,7,171,2,Some Random Commen with Id 33
34,9,8,130,8,Some Random Commen with Id 34
35,10,9,70,9,Some Random Commen with Id 35
36,10,9,21,3,Some Random Commen with Id 36
37,10,9,154,2,Some Random Commen with Id 37
38,11,1,188,7,Some Random Commen with Id 38
39,11,1,184,7,Some Random Commen with Id 39
40,11,1,112,2,Some Random Commen with Id 40
41,11,1,145,1,Some Random Commen with Id 41
42,11,1,75,7,Some Random Commen with Id 42
43,11,1,14,8,Some Random Commen with Id 43
44,11,1,147,1,Some Random Commen with Id 44
45,13,0,50,6,Some Random Commen with Id 45
46,13,0,29,6,Some Random Commen with Id 46
47,13,0,0,8,Some Random Commen with Id 47
48,13,0,49,5,Some Random Commen with Id 48
49,13,0,123,1,Some Random Commen with Id 49
50,14,2,45,1,Some Random Commen with Id 50
51,14,2,0,5,Some Random Commen with Id 51
52,14,2,71,3,Some Random Commen with Id 52
53,14,2,70,8,Some Random Commen with Id 53
54,14,2,63,8,Some Random Commen with Id 54
55,14,2,69,8,Some Random Commen with Id 55
56,14,2,126,1,Some Random Commen with Id 56
57,15,2,112,7,Some Random Commen with Id 57
58,15,2,3,8,Some Random Commen with Id 58
59,15,2,45,8,Some Random Commen with Id 59
60,16,6,156,1,Some Random Commen with Id 60
61,16,6,4,7,Some Random Commen with Id 61
62,16,6,199,4,Some Random Commen with Id 62
63,17,8,122,8,Some Random Commen with Id 63
64,17,8,196,2,Some Random Commen with Id 64
65,18,9,174,5,Some Random Commen with Id 65
66,18,9,113,7,Some Random Commen with Id 66
67,18,9,161,4,Some Random Commen with Id 67
68,18,9,31,3,Some Random Commen with Id 68
69,18,9,4,1,Some Random Commen with Id 69
70,18,9,52,7,Some Random Commen with Id 70
71,18,9,125,7,Some Random Commen with Id 71
72,19,3,13,8,Some Random Commen with Id 72
73,19,3,198,3,Some Random Commen with Id 73
74,19,3,154,6,Some Random Commen with Id 74
75,19,3,102,4,Some Random Commen with Id 75
76,19,3,46,0,Some Random Commen with Id 76
